"kegg_id","GeneName","GeneID"
"ecs:ECs_4330","DNA gyrase subunit B","ECs_4330"
"ecs:ECs_2250","phage prohead protease","ECs_2250"
"ecs:ECs_3270","hypothetical protein","ECs_3270"
"ecs:ECs_2251","phage terminase large subunit","ECs_2251"
"ecs:ECs_1980","phage major tail protein","ECs_1980"
"ecs:ECs_1991","outer membrane precursor Lom","ECs_1991"
"ecs:ECs_2137","transcriptional repressor","ECs_2137"
"ecs:ECs_2262","hypothetical protein","ECs_2262"
"ecs:ECs_2240","phage tail length tape measure protein","ECs_2240"
"ecs:ECs_1422","hypothetical protein","ECs_1422"
"ecs:ECs_0119","pyruvate dehydrogenase","ECs_0119"
"ecs:ECs_0930","hypothetical protein","ECs_0930"
"ecs:ECs_2104","UV-inducible global regulator","ECs_2104"
"ecs:ECs_2883","multidrug efflux system subunit B","ECs_2883"
"ecs:ECs_1544","phage portal protein","ECs_1544"
"ecs:ECs_5731","hypothetical protein","ECs_5731"
"ecs:ECs_2884","multidrug efflux system subunit B","ECs_2884"
"ecs:ECs_1175","phage recombination protein Bet","ECs_1175"
"ecs:ECs_1799","phage minor tail protein","ECs_1799"
"ecs:ECs_4247","two-component regulatory system response regulator OmpR","ECs_4247"
"ecs:ECs_3460","translation inhibitor protein RaiA","ECs_3460"
"ecs:ECs_1490","multiple stress resistance protein BhsA","ECs_1490"
"ecs:ECs_4246","two-component system sensor histidine kinase EnvZ","ECs_4246"
"ecs:ECs_4819","formate dehydrogenase-O Fe-S subunit","ECs_4819"
"ecs:ECs_0165","serine endoprotease","ECs_0165"
"ecs:ECs_2138","multiple antibiotic resistance transcriptional regulator","ECs_2138"
"ecs:ECs_1990","phage host specificity protein","ECs_1990"
"ecs:ECs_0321","ECP production outer membrane protein","ECs_0321"
"ecs:ECs_2882","multidrug efflux system subunit A","ECs_2882"
"ecs:ECs_1176","phage host-nuclease inhibitor protein Gam","ECs_1176"
"ecs:ECs_3761","isopentenyl diphosphate isomerase","ECs_3761"
"ecs:ECs_2885","transporter","ECs_2885"
"ecs:ECs_2428","acid-inducible outer membrane protein","ECs_2428"
"ecs:ECs_1649","outer membrane precursor Lom","ECs_1649"
"ecs:ECs_2886","two-component system sensor histidine kinase BaeS","ECs_2886"
"ecs:ECs_2211","hypothetical protein","ECs_2211"
"ecs:ECs_1174","exonuclease","ECs_1174"
"ecs:ECs_3008","hypothetical protein","ECs_3008"
"ecs:ECs_1548","phage minor tail protein","ECs_1548"
"ecs:ECs_3128","anaerobic sn-glycerol-3-phosphate dehydrogenase C subunit","ECs_3128"
"ecs:ECs_3124","periplasmic glycerophosphodiester phosphodiesterase","ECs_3124"
"ecs:ECs_5258","membrane protein","ECs_5258"
"ecs:ECs_2794","transposase","ECs_2794"
"ecs:ECs_2159","phage tail fiber protein","ECs_2159"
"ecs:ECs_2812","D-alanyl-D-alanine carboxypeptidase","ECs_2812"
"ecs:ECs_4250","ferrous iron transporter","ECs_4250"
"ecs:ECs_3125","sn-glycerol-3-phosphate transporter","ECs_3125"
"ecs:ECs_0616","dihydropteridine reductase","ECs_0616"
"ecs:ECs_1863","multidrug-efflux transport protein precursor","ECs_1863"
"ecs:ECs_2252","phage terminase small subunit","ECs_2252"
"ecs:ECs_2215","hypothetical protein","ECs_2215"
"ecs:ECs_4437","multicopy suppressor of bamB","ECs_4437"
"ecs:ECs_R0123","tRNA-Gly","ECs_R0123"
"ecs:ECs_0323","ECP pilin","ECs_0323"
"ecs:ECs_2714","T3SS secreted effector EspJ","ECs_2714"
"ecs:ECs_3332","multidrug efflux system protein","ECs_3332"
"ecs:ECs_2234","phage host specificity protein","ECs_2234"
"ecs:ECs_2074","pseudogene","ECs_2074"
"ecs:ECs_2216","pseudogene","ECs_2216"
"ecs:ECs_2913","periplasmic modulator of Ni and Co efflux","ECs_2913"
"ecs:ECs_1545","phage DNA packaging protein","ECs_1545"
"ecs:ECs_2230","hypothetical protein","ECs_2230"
"ecs:ECs_3526","hypothetical protein","ECs_3526"
"ecs:ECs_1179","single stranded DNA-binding protein","ECs_1179"
"ecs:ECs_2085","biofilm-dependent modulation protein","ECs_2085"
"ecs:ECs_0624","enterobactin/ferrienterobactin esterase","ECs_0624"
"ecs:ECs_1756","outer membrane protein OmpW","ECs_1756"
"ecs:ECs_2292","hypothetical protein","ECs_2292"
"ecs:ECs_2609","L-arabinose ABC transporter periplasmic binding protein","ECs_2609"
"ecs:ECs_1864","multidrug efflux system protein","ECs_1864"
"ecs:ECs_2996","single stranded DNA-binding protein","ECs_2996"
"ecs:pO157p60","hypothetical protein","pO157p60"
"ecs:ECs_2960","pseudogene","ECs_2960"
"ecs:ECs_3007","hypothetical protein","ECs_3007"
"ecs:ECs_1423","RNase III inhibitor","ECs_1423"
"ecs:ECs_5137","transporter","ECs_5137"
"ecs:ECs_R0072","tRNA-Ser","ECs_R0072"
"ecs:ECs_1664","hypothetical protein","ECs_1664"
"ecs:ECs_2152","pseudogene","ECs_2152"
"ecs:ECs_2235","phage host specificity protein","ECs_2235"
"ecs:ECs_0005","hypothetical protein","ECs_0005"
"ecs:ECs_3005","hypothetical protein","ECs_3005"
"ecs:ECs_3295","sulfate/thiosulfate ABC transporter permease","ECs_3295"
"ecs:ECs_5761","hypothetical protein","ECs_5761"
"ecs:ECs_1686","cation/proton antiporter","ECs_1686"
"ecs:ECs_0006","peroxide resistance protein","ECs_0006"
"ecs:ECs_2193","phage antiterminator","ECs_2193"
"ecs:ECs_4627","heat shock chaperone","ECs_4627"
"ecs:ECs_3971","serine/threonine transporter","ECs_3971"
"ecs:ECs_2795","IS629 transposase OrfB","ECs_2795"
"ecs:ECs_4331","surfactin synthetase","ECs_4331"
"ecs:ECs_3890","biopolymer transport protein ExbB","ECs_3890"
