"logFC","logCPM","F","PValue","FDR","GeneID","Significant","GeneName"
0.0579760451717294,1.77344231350689,0.0417675135855967,0.844760547619892,0.939011452039457,"ECs_3806","Not Significant","fructose 1,6 bisphosphatase isozyme"
-0.0349834648732571,3.9282572067565,0.0414959656705896,0.845257628687504,0.939359294974937,"pO157p50","Not Significant","hypothetical protein"
0.0978904439840021,-0.611923695915674,0.0413350610146448,0.845559292045107,0.939489860318469,"ECs_0831","Not Significant","hypothetical protein"
0.0376823304928727,6.7410536892344,0.0410730206424702,0.846035731163406,0.939676951965489,"ECs_4364","Not Significant","oxidoreductase"
-0.028889648501396,7.48304089673942,0.0410402979894091,0.846096106719759,0.939676951965489,"ECs_3678","Not Significant","protease III"
0.029423075299287,5.75146759748446,0.0404734662323953,0.847145979778595,0.94035711998011,"ECs_1839","Not Significant","RNA binding protein"
-0.0276361845239372,9.07063918181546,0.0402830566782437,0.847500376874654,0.94035711998011,"ECs_1007","Not Significant","chromosome condensin MukBEF ATPase and DNA-binding subunit MukB"
-0.0489861677063577,5.35578958501314,0.0402282122523878,0.847602618626283,0.94035711998011,"ECs_4207","Not Significant","OsmC family protein"
0.0307465540020973,6.1490171797648,0.0401992888168982,0.847656566664506,0.94035711998011,"ECs_1104","Not Significant","transposase"
0.037119774727812,2.72857439257953,0.0400744588319337,0.847889770432298,0.94035711998011,"ECs_2379","Not Significant","hypothetical protein"
0.0301700289740348,7.76901348604524,0.0400415757946904,0.847951093496397,0.94035711998011,"ECs_1143","Not Significant","O-antigen capsule production threonine-rich inner membrane protein"
-0.0436690807853081,6.99662084673487,0.0399078715529791,0.848201260199866,0.94035711998011,"ECs_1717","Not Significant","RF-1 and RF-2 N5-glutamine methyltransferase"
0.0368971415554262,5.38551597730577,0.0397334566463759,0.848528258828258,0.94035711998011,"ECs_2617","Not Significant","integrase"
0.0417054710050524,3.2470207405641,0.0397230587818144,0.848547843458967,0.94035711998011,"ECs_2546","Not Significant","hypothetical protein"
0.085260775645641,-0.770709315159326,0.0397250925728285,0.848552013971466,0.94035711998011,"ECs_2170","Not Significant","phage minor tail protein"
-0.0411371741212119,2.50146367651704,0.0392117752586248,0.849510970769695,0.940961166704633,"ECs_1106","Not Significant","phage terminase large subunit"
0.0296303321288452,6.07550838769447,0.0390710350563773,0.849777075033153,0.940961166704633,"ECs_0908","Not Significant","glutathione ABC transporter ATPase"
-0.0516523556607894,6.04322530881184,0.0390381387181005,0.849839379580261,0.940961166704633,"ECs_R0093","Not Significant","tRNA-Met"
0.0338379310754631,5.53956920152706,0.0390269675500263,0.849860543889431,0.940961166704633,"ECs_2579","Not Significant","MAPEG family inner membrane protein"
-0.0913096904562934,0.0827522696882452,0.0389443341249655,0.85001941897176,0.940961166704633,"ECs_0403","Not Significant","2,3-dihydroxyphenylpropionate 1,2-dioxygenase"
-0.0450084473677854,3.07145770468012,0.0387793854304811,0.850330505631284,0.941026518564318,"ECs_4931","Not Significant","homoserine O-transsuccinylase"
-0.0362576225317782,7.82993523651061,0.0385927313342493,0.850685681135465,0.941026518564318,"ECs_3685","Not Significant","phosphatidylglycerol-prolipoprotein diacylglyceryl transferase"
0.0521664435276792,1.45322231197622,0.0385037419345444,0.850855863743111,0.941026518564318,"ECs_3629","Not Significant","FAD-linked oxidoreductase"
-0.0395160972798048,5.49678919027943,0.0384454739882462,0.850966601123708,0.941026518564318,"ECs_4738","Not Significant","frataxin"
0.0412448628886577,4.17929923000915,0.0383902822087587,0.851072036829168,0.941026518564318,"ECs_3688","Not Significant","methyl-directed mismatch repair protein MutH"
-0.0292094472567298,7.1707336493531,0.0383310213136223,0.851185327711383,0.941026518564318,"ECs_2197","Not Significant","hypothetical protein"
0.0490002004462168,1.96847894471043,0.0381687404203382,0.85149631698417,0.941166351665494,"ECs_3465","Not Significant","lipoprotein"
0.0321352996892394,8.21136884927583,0.0376885954909838,0.852419426456468,0.941982559435538,"ECs_2574","Not Significant","hypothetical protein"
0.0434812313741363,2.04101273297707,0.0375483048850871,0.852690623323963,0.942078161051665,"ECs_4854","Not Significant","hypothetical protein"
0.0317910984800808,12.2283546602484,0.0373018715791065,0.853167621181893,0.942232937343718,"ECs_4182","Not Significant","50S ribosomal subunit protein L2"
0.0348355928771944,7.07508239048042,0.0372851082236196,0.853200144597262,0.942232937343718,"ECs_0985","Not Significant","pyruvate formate lyase activating enzyme"
-0.0439936086290739,2.64635199992201,0.0368679237146178,0.854012146598875,0.942742741125472,"ECs_4795","Not Significant","sugar phosphate isomerase"
0.0331994178030215,6.20287215748211,0.0368579883039785,0.854031406928211,0.942742741125472,"ECs_3072","Not Significant","microcin C ABC transporter ATPase"
-0.02842991524999,7.35921498446543,0.0367556757265523,0.85423127243264,0.942759351077217,"ECs_0536","Not Significant","transcriptional regulator"
0.0292304035567855,9.4529631037386,0.0366380320881813,0.854461445782746,0.942809395400776,"ECs_1013","Not Significant","asparaginyl tRNA synthetase"
0.0564135221797421,0.192814149735475,0.0364530461474477,0.854826014136848,0.942865465823103,"ECs_1187","Not Significant","phage regulatory protein CII"
-0.0295539453711979,7.64683633343678,0.0364236209773524,0.854881940684542,0.942865465823103,"ECs_0678","Not Significant","DNA polymerase III delta subunit"
-0.096730966506434,-0.891463499993227,0.0360949727038435,0.855538912071387,0.943246477066229,"ECs_4608","Not Significant","hypothetical protein"
0.0401131838159532,5.77889816598574,0.035997719497736,0.855721045433496,0.943246477066229,"ECs_0605","Not Significant","type IV secretion protein Rhs"
0.0299187596588846,6.31856074340351,0.0359668117665777,0.8557821399456,0.943246477066229,"ECs_4781","Not Significant","hypothetical protein"
0.0379996256584737,2.54032500325086,0.0357249559609081,0.856261293811403,0.943570719319932,"ECs_2902","Not Significant","ADP-ribosylglycohydrolase family protein"
-0.0276147267307964,5.77558147247984,0.0356250630072881,0.856459499078629,0.94358529261341,"ECs_0498","Not Significant","7-cyano-7-deazaguanine synthase"
0.0376259400925291,7.6872846257365,0.0354813006715392,0.856745451769173,0.943696512518798,"ECs_5016","Not Significant","pseudogene"
0.0905302607597923,-1.25363383743986,0.0351744048334383,0.857379244067477,0.944147286223411,"ECs_2866","Not Significant","colanic acid production protein-tyrosine-phosphatase"
0.0294998556652805,8.45512927847068,0.0350750134647903,0.857556860739397,0.944147286223411,"ECs_4527","Not Significant","ATP-dependent DNA helicase"
0.0474658227784051,2.98164939262346,0.0349986844994957,0.857709963606996,0.944147286223411,"ECs_4557","Not Significant","T3SS secretion switching protein SepL"
0.0305993534230501,13.3052504108269,0.0348889214421883,0.857930143808561,0.944185903682301,"ECs_0994","Not Significant","30S ribosomal subunit protein S1"
-0.0263933181491111,8.00505189856251,0.0346926797199897,0.858324910001824,0.944351305743414,"ECs_0153","Not Significant","penicillin-binding protein 1B"
